time   pos_x    pos_y    q_x      q_y      q_z    q_w    linear_velocity    angular_velocity    command_velocity command_angle
1535899703.43 -0.183115389566 -5.66915568143 0.0 0.0 0.46677185376 -0.884377768003 0.1 0.12 0.1 0.12
1535899703.48 -0.18028353767 -5.67329923467 0.0 0.0 0.464106628948 -0.885779338756 0.1 0.12 0.1 0.12
1535899703.53 -0.177424339686 -5.6774291863 0.0 0.0 0.461434911316 -0.88717406557 0.1 0.12 0.1 0.12
1535899703.58 -0.17456120261 -5.68151202088 0.0 0.0 0.458778411837 -0.888550712584 0.1 0.12 0.1 0.12
1535899703.63 -0.171669502119 -5.68558353906 0.0 0.0 0.456113948035 -0.88992138215 0.1 0.12 0.1 0.12
1535899703.68 -0.16876240593 -5.68962520992 0.0 0.0 0.453453587314 -0.891279891029 0.1 0.12 0.1 0.12
1535899703.73 -0.165823789986 -5.6936596355 0.0 0.0 0.450782425511 -0.892633858226 0.1 0.12 0.1 0.12
1535899703.78 -0.162863129246 -5.69767358678 0.0 0.0 0.448109088106 -0.893978884067 0.1 0.12 0.1 0.12
1535899703.83 -0.159821957406 -5.70174544766 0.0 0.0 0.445380980229 -0.895341154226 0.1 0.12 0.1 0.12
1535899703.88 -0.15681695074 -5.70571812043 0.0 0.0 0.442703079637 -0.896668268247 0.1 0.12 0.1 0.12
1535899703.93 -0.15377820548 -5.70968587755 0.0 0.0 0.440012322485 -0.897991734963 0.1 0.12 0.1 0.12
1535899703.98 -0.150757021197 -5.71358207542 0.0 0.0 0.437353976966 -0.899289441076 0.1 0.12 0.1 0.12
1535899704.03 -0.147663273045 -5.71752347673 0.0 0.0 0.434648427057 -0.900600213667 0.1 0.12 0.1 0.12
1535899704.08 -0.144537961394 -5.72145617257 0.0 0.0 0.431932059128 -0.901906146058 0.1 0.12 0.1 0.12
1535899704.13 -0.141411448982 -5.72534205694 0.0 0.0 0.42923117389 -0.90319466305 0.1 0.12 0.1 0.12
1535899704.18 -0.138196811446 -5.72928887124 0.0 0.0 0.426470652716 -0.904501399873 0.1 0.12 0.1 0.12
1535899704.23 -0.135031120039 -5.73312746541 0.0 0.0 0.423768504268 -0.905770530979 0.1 0.12 0.1 0.12
1535899704.28 -0.131833322371 -5.73695816312 0.0 0.0 0.42105472902 -0.907035233698 0.1 0.12 0.1 0.12
1535899704.33 -0.128614967526 -5.740766894 0.0 0.0 0.41833914138 -0.908290902073 0.1 0.12 0.1 0.12
1535899704.38 -0.125379676029 -5.74454952281 0.0 0.0 0.415624675289 -0.909536216591 0.1 0.12 0.1 0.12
1535899704.43 -0.122003502042 -5.74844946662 0.0 0.0 0.4123378072 -0.911031027328 0.1 0.14 0.1 0.14
1535899704.48 -0.118822777527 -5.75207046233 0.0 0.0 0.409261897905 -0.912416954535 0.1 0.14 0.1 0.14
1535899704.53 -0.115436358749 -5.75587356051 0.0 0.0 0.406006902316 -0.913870010052 0.1 0.14 0.1 0.14
1535899704.58 -0.112121967189 -5.75954276194 0.0 0.0 0.402841425818 -0.915269788448 0.1 0.14 0.1 0.14
1535899704.63 -0.108775443996 -5.76319636929 0.0 0.0 0.399664652207 -0.916661423742 0.1 0.14 0.1 0.14
1535899704.68 -0.105330839531 -5.76690507809 0.0 0.0 0.396414307275 -0.918071727583 0.1 0.14 0.1 0.14
1535899704.73 -0.101908596385 -5.77053774373 0.0 0.0 0.393204560983 -0.919451017305 0.1 0.14 0.1 0.14
1535899704.78 -0.0984683017136 -5.77413882406 0.0 0.0 0.389996777485 -0.920816221377 0.1 0.14 0.1 0.14
1535899704.83 -0.0950017384461 -5.77771711414 0.0 0.0 0.386783099847 -0.922170718291 0.1 0.14 0.1 0.14
1535899704.88 -0.0915047542317 -5.78127678495 0.0 0.0 0.383559600945 -0.923516124669 0.1 0.14 0.1 0.14
1535899704.93 -0.0879832064523 -5.78481171952 0.0 0.0 0.380331622901 -0.924850180635 0.1 0.14 0.1 0.14
1535899704.98 -0.0844203441441 -5.78833850595 0.0 0.0 0.377083764135 -0.92617915914 0.1 0.14 0.1 0.14
1535899705.03 -0.0808546388624 -5.79181890015 0.0 0.0 0.37385105955 -0.927488752101 0.1 0.14 0.1 0.14
1535899705.08 -0.0772107192497 -5.79532633558 0.0 0.0 0.370565056393 -0.92880651321 0.1 0.14 0.1 0.14
1535899705.13 -0.0736227150642 -5.79873133629 0.0 0.0 0.367346806272 -0.930084041322 0.1 0.14 0.1 0.14
1535899705.18 -0.0699767508045 -5.80214366604 0.0 0.0 0.364093375436 -0.931362450372 0.1 0.14 0.1 0.14
1535899705.23 -0.0662785134234 -5.80555673108 0.0 0.0 0.360810171414 -0.932639276572 0.1 0.14 0.1 0.14
1535899705.28 -0.062526202097 -5.80897106205 0.0 0.0 0.357495868439 -0.933914719902 0.1 0.14 0.1 0.14
1535899705.33 -0.0588046113474 -5.81230943104 0.0 0.0 0.354225314839 -0.935160107322 0.1 0.14 0.1 0.14
1535899705.38 -0.0551330021069 -5.81555687656 0.0 0.0 0.351014527051 -0.936370013296 0.1 0.14 0.1 0.14
1535899705.43 -0.0513376106917 -5.81886766303 0.0 0.0 0.347238868116 -0.937776715679 0.1 0.16 0.1 0.16
1535899705.48 -0.047570519323 -5.82210067859 0.0 0.0 0.343511884237 -0.939148329812 0.1 0.16 0.1 0.16
1535899705.53 -0.0437260823717 -5.82534740586 0.0 0.0 0.339728482324 -0.940523555419 0.1 0.16 0.1 0.16
1535899705.58 -0.0398918487041 -5.82853298479 0.0 0.0 0.335975055649 -0.941870883923 0.1 0.16 0.1 0.16
1535899705.63 -0.0360266809424 -5.83169249884 0.0 0.0 0.332210780724 -0.943205172362 0.1 0.16 0.1 0.16
